fid,item_id,lon,lat,Year
2,7,152.25,-30.88,After 2000
3,7,152.44,-30.16,After 2000
1,7,145.966111,-43.42,After 2000
4,11,27.64,45.55,After 2000
5,11,25.45,45.76,After 2000
6,11,26.66,45.91,After 2000
7,13,10.35,-2.48,After 2000
8,16,-84.98,15.58,After 2000
9,24,118.99,10.12,After 2000
10,25,-43.26,-22.45,After 2000
11,26,46.47,38.96,After 2000
12,34,-6.94,54.72,After 2000
13,40,109.64,2.06,After 2000
14,45,43.83,-24.14,After 2000
15,61,145.87,-37.67,After 2000
16,69,-75.92,-1.08,After 2000
17,75,-78,40,After 2000
18,82,-78,40,After 2000
19,89,-41.79,-20.43,After 2000
20,92,142,43,After 2000
21,95,-66,8,After 2000
22,98,102.2,5.53,After 2000
23,99,104.33,-5.43,After 2000
24,100,-0.12,51.5,After 2000
25,102,102.47,4.7,After 2000
26,105,99.34,23.23,After 2000
27,108,-138.67,61.23,After 2000
28,109,102.6,2.37,After 2000
29,110,116.32,1.05,After 2000
30,124,69.25,26,After 2000
31,125,78.94,29.55,After 2000
32,126,-110.51,32.17,After 2000
33,127,-111.05,31.57,After 2000
34,128,-76,-10,After 2000
35,136,-79.85,9.15,After 2000
36,136,5.8,52.08,After 2000
37,138,-61.25,-19.07,After 2000
38,140,-80,9,After 2000
39,149,-80.83,-1.56,After 2000
40,171,151.29,-33.8,After 2000
41,178,-122.23,37.41,After 2000
42,181,90.27,42.7,After 2000
43,182,120.5,29.2,After 2000
44,183,89,45,After 2000
45,186,18.43,-33.97,After 2000
46,189,130.73,42.833333,After 2000
47,190,103.61,31,After 2000
48,192,-80.43,34.99,After 2000
49,208,-70.1,-12.57,After 2000
50,209,25,43.25,After 2000
51,211,28.05,-28.25,After 2000
52,212,36.68,-7.8,After 2000
53,213,29.68,-1.02,After 2000
54,214,15.75,2.25,After 2000
55,214,16.45,2.47,After 2000
56,217,-93.84,31.34,After 2000
57,218,176.82,-39.42,After 2000
58,219,172.33,-42,After 2000
59,225,139.01,35.75,After 2000
60,232,-85.67,10.65,After 2000
61,232,-85.64,10.66,After 2000
62,235,15.23,44.53,After 2000
63,236,117.41,5.35,After 2000
64,236,117.24,5.41,After 2000
65,236,117.81,5.72,After 2000
66,237,30.97,-0.63,After 2000
67,238,-96.98,32.77,After 2000
68,239,-105.02,35.89,After 2000
69,240,18.43,-33.97,After 2000
70,241,31.73,40.2,After 2000
71,243,141.29,-38.07,After 2000
72,244,-78.33,-1.83,After 2000
73,245,28.99,-22.27,After 2000
74,246,-73.89,42.01,After 2000
75,247,-81.06,36.4,After 2000
76,248,-73.54,43.46,After 2000
77,248,-73.4,43.55,After 2000
78,249,16.45,2.47,After 2000
79,250,32.25,-27.65,After 2000
80,251,-84,10,After 2000
81,252,29.14,-22.21,After 2000
82,255,114.15,24.7,After 2000
83,256,106.41,28.5,After 2000
84,258,106.96,22.47,After 2000
85,259,104.16,32.91,After 2000
86,261,127.97,41.75,After 2000
87,262,100.84,22.02,After 2000
88,263,112.33,23.11,After 2000
89,265,112.46,34.62,After 2000
90,266,106.96,22.47,After 2000
91,267,153.27,-28.21,After 2000
92,273,98.7,25.08,After 2000
93,276,139.2,35.42,After 2000
94,276,139.38,35.63,After 2000
95,278,97.93,24.72,After 2000
96,279,70.49,41.39,After 2000
97,281,88.26,26.48,After 2000
98,287,31.12,39.68,After 2000
99,291,97.93,24.72,After 2000
100,296,84.16,27.33,After 2000
101,299,84.16,27.33,After 2000
102,302,-118,45.5,After 2000
103,303,-100,44.5,Before 2000
104,319,101.55,16.34,After 2000
105,323,-92.25,38.83,After 2000
106,331,-73.62,41.19,After 2000
107,339,-77.15,38.72,After 2000
108,364,-90.8,31.17,Before 2000
109,370,101.55,16.34,After 2000
110,382,151.49,-32.05,After 2000
111,382,152.23,-31.2,After 2000
112,394,144.6,-35.95,After 2000
113,401,7.3,51.98,After 2000
114,401,52.63,52.63,After 2000
115,402,-105.27,40.02,After 2000
116,407,129.37,28.33,After 2000
117,410,126.1,-17.53,After 2000
118,412,126,-16,After 2000
119,413,137.25,-35.83,After 2000
120,414,148.35,-36.07,After 2000
121,422,145.4,-16.2,After 2000
122,425,-84.97,32.37,After 2000
123,426,-81.42,31.07,After 2000
124,428,116.04,-34.46,After 2000
125,430,143.87,-9.14,After 2000
126,431,-81.54,24.67,After 2000
127,435,51.98,35.99,After 2000
128,437,118.04,5.41,After 2000
129,442,138.62,-30.92,After 2000
130,448,138.26,-23.84,After 2000
131,451,146.46,-41.55,After 2000
132,464,145.21,-37.41,After 2000
133,466,145.92,-28.7,After 2000
134,468,143.43,-25.06,After 2000
135,477,172.47,-43.63,After 2000
136,495,-108.2,44.3,After 2000
137,498,-116.82,32.67,After 2000
138,498,-116.85,32.69,After 2000
139,498,-117.06,32.82,After 2000
140,498,-116.86,32.83,After 2000
141,498,-116.94,32.91,After 2000
142,498,-117.04,32.92,After 2000
143,498,-117.13,32.94,After 2000
144,498,-117.21,32.94,After 2000
145,498,-117.16,32.95,After 2000
146,498,-117.11,32.98,After 2000
147,498,-116.86,33,After 2000
148,498,-117.02,33.02,After 2000
149,498,-116.95,33.03,After 2000
150,498,-117.12,33.08,After 2000
151,499,-115.21,46.26,After 2000
152,501,-121.41,47.41,After 2000
153,510,-101.1,17.57,After 2000
154,510,-100.58,17.6,After 2000
155,510,-101.04,17.66,After 2000
156,514,-87.42,20.91,After 2000
157,526,-68.53,-54.85,After 2000
158,527,-122.24,37.65,After 2000
159,534,142.4,-37.21,After 2000
160,540,145.05,-36.64,After 2000
161,545,4.78,49.45,After 2000
162,545,5.05,49.46,After 2000
163,570,-123.59,39.5,After 2000
164,571,-122.93,44.97,After 2000
165,576,-123.69,41.1,After 2000
166,577,103.1,31.02,After 2000
167,580,116.09,40.07,After 2000
168,586,145.34,-38.35,After 2000
169,590,-75.92,-1.08,After 2000
170,592,102.18,3.72,After 2000
171,596,57.42,-20.42,After 2000
172,597,101.37,14.44,After 2000
173,600,-82.59,28.26,After 2000
174,601,-70.2,41.68,After 2000
175,611,-47.38,-15.5,After 2000
176,613,-82.94,9.41,After 2000
177,613,-83.42,9.94,After 2000
178,635,-79,38,After 2000
179,656,-77.76,8.04,After 2000
180,656,-82.09,8.31,After 2000
181,656,-81.07,8.51,After 2000
182,656,-80.42,8.65,After 2000
183,656,-82.54,8.81,After 2000
184,656,-80.64,8.86,After 2000
185,656,-81.61,8.86,After 2000
186,656,-79.64,8.94,After 2000
187,656,-79.66,9.07,After 2000
188,656,-80.12,9.15,After 2000
189,656,-79.85,9.15,After 2000
190,656,-79.65,9.55,After 2000
191,660,-90.68,17.57,After 2000
192,669,-101,31,After 2000
193,671,-75.1,23.18,Before 2000
194,676,142.4,-37.21,After 2000
195,677,142.4,-37.21,After 2000
