item_id,lon,lat
"2425",29.95,0.37
"2001",-72,-12
"3185",-71,-12
"2116",-71.37,-11.9
"3185",-71.72,-11.86
"6312",-74.67,-5.25
"3880",-71.52,-10.37
"6603",-62.53,5.92
"4314",-76.45,-0.67
"4681",-58.5,4
"6532",-70.03,-12.32
"4461",-71.97,-8.92
"7368",-70.03,-12.5
"5773",-69.84,-11.48
"5773",-70.21,-12.43
"7268",-69.42,-12.5
"2116",-76.4,-0.67
"5773",-70.06,-12.54
"4206",-69.75,-11.5
"2116",29.66,-1.08
"6532",-69.7,-11.42
"1374",-70.36,-10.02
"5773",-69.35,-11.6
"208",-70.1,-12.57
"3880",-70.96,-12.73
"3692",-56.19,4.74
"5773",-69.04,-12.22
"1778",-69.21,-12.54
"4249",-75.21,-1.59
"4475",-76.47,-2.7
"213",29.68,-1.02
"7701",-59.58,3.2
"2149",-76.17,-0.62
"4911",-76.15,-0.64
"69",-75.92,-1.08
"4314",-76,-0.71
"6939",-58.67,3.18
"6939",-58.62,2.63
"4314",-77.12,-1.01
"5906",34.87,0.24
"7566",-55.18,4.94
"4314",-76.01,-1.71
"6240",36.17,-0.28
"6532",-69.42,-12.95
"4627",-72.9,-3.1
"5773",-69.46,-12.99
"2792",-55.42,2.98
"5119",-52.67,4.17
"592",102.18,3.72
"7268",-70.03,-12.95
"1516",30.39,0.49
"2793",-56.74,2.59
"1975",-59.34,2.18
"5119",-53.08,5.3
"867",30.4,0.5
"1163",-53.3,4.58
"5278",-71.39,-12.79
"4555",-61.71,3.63
"2395",-69.5,-9
"4356",-69.45,-9.05
"3668",30.46,0.52
"4702",-72.8,-11.7
"5562",-73.73,4.47
"5119",-52.33,4.58
"1498",101.37,4.04
"2425",29.88,-0.55
"3098",-68.24,-6.62
"4719",-60.15,-2.62
"2116",-59.98,-2.93
"5406",101.55,5.4
"3202",-52.08,1.62
"5111",-69.45,-13.27
"5128",101.75,3.33
"2396",-65.35,-4.89
"4719",-60,-2.5
"5697",101.43,5.53
"3785",101.33,5.5
"4378",-72.3,7.3
"3185",-71,-13
"7536",-77.76,-2.59
"4140",-67.43,-5.27
"4284",-52.81,5.21
"1050",-59.47,-1.92
"2902",-59.48,-1.8
"4719",-60.03,-2.13
"3182",-67.64,-5.77
"7506",-77.77,-2.58
"4847",101.35,5.55
"5569",101.49,5.59
"7351",101.7,5.3
"1379",-77.6,-0.7
"5870",-72.942,-11.72
"1375",-77.6,-0.69
"3206",-70.2,-3.48
"4555",-59.24,-1.81
"4461",-51.68,1.34
"5244",-77.6,-0.62
"1800",-51.58,0.92
"3232",-59.46,-1.2
"4243",-51.6,0.92
"4645",-53.93,0.83
"3513",-62.66,-4.87
"3457",-77.6,-0.6
"4645",-58.7,1.29
"3889",35.67,-1.5
"7438",101.81,5.47
"3620",-74.1,4.92
"2507",31.55,1.72
"1375",-77.55,-0.38
"5552",-74.11,4.93
"4592",101,5
"2425",30.08,-0.41
"4790",-65.68,-2.26
"3904",102,3.16
"6623",101.83,5.58
"4645",-57.21,-1.71
"4555",-59.43,0.8
"1516",31.58,1.79
"6890",29.29,-2.49
"1092",-67.38,-1.82
"2142",38.33,-3.42
"4555",-61.66,-3.42
"5308",-64.45,-2.4
"7147",36.83,-3.25
"1092",-64.27,-2.35
"1609",-8.47,7.57
"4531",-48.76,-1.93
"7441",102.3,2.97
"2116",-51.43,-1.79
"904",-73.42,5.08
"4101",-8.42,7.64
"1515",102.31,2.98
"2425",30.25,-0.25
"102",102.47,4.7
"4985",-73.27,5.19
"3692",-51.47,-1.73
"5952",-76.7,3.51
"4779",-75.58,4.73
"5821",-66.41,10.03
"1531",-66.41,10.06
"4645",-55.52,-0.96
"4671",101.46,3.53
"4645",-55.19,-0.17
"5092",101.51,5.8
"4645",-53.24,-0.94
"4022",-43,-22.46
"4910",-72.77,2.48
"7229",-77.08,2.7
"5823",-44.61,-22.38
"4311",-45.53,-22.7
"4910",-72.77,2.47
"4093",116.1,5.53
"4461",-56.63,-4.44
"5142",-56.84,-4.44
"25",-43.26,-22.45
"6075",-45.58,-22.534444
"820",116.71,6.04
"3830",116.47,5.93
"6625",-67.63,-13.8
"5812",114.92,4.13
"3166",-77.55,7.74
"5561",100.71,5.39
"2234",114.88,4.1
"4488",-43.94,-21.98
"6363",102.5,5
"5569",102.54,5.02
"7409",-43.79,-22.37
"2234",115.47,4.39
"4466",115.47,4.3889
"945",101.83,5.8
"2279",-62.51,-8
