item_id,lon,lat
7,152.25,-30.88
7,152.44,-30.16
11,27.64,45.55
11,25.45,45.76
11,26.66,45.91
13,10.35,-2.48
16,-84.98,15.58
24,118.99,10.12
25,-43.26,-22.45
26,46.47,38.96
34,-6.94,54.72
40,109.64,2.06
45,43.83,-24.14
61,145.87,-37.67
69,-75.92,-1.08
75,-78,40
89,-41.79,-20.43
92,142,43
95,-66,8
98,102.2,5.53
99,104.33,-5.43
100,-0.12,51.5
102,102.47,4.7
105,99.34,23.23
108,-138.67,61.23
109,102.6,2.37
110,116.32,1.05
124,69.25,26
125,78.94,29.55
126,-110.51,32.17
127,-111.05,31.57
128,-76,-10
136,-79.85,9.15
136,5.8,52.08
138,-61.25,-19.07
140,-80,9
171,151.29,-33.8
178,-122.23,37.41
181,90.27,42.7
182,120.5,29.2
183,89,45
186,18.43,-33.97
189,130.73,42.833333
190,103.61,31
192,-80.43,34.99
208,-70.1,-12.57
209,25,43.25
211,28.05,-28.25
212,36.68,-7.8
213,29.68,-1.02
214,15.75,2.25
214,16.45,2.47
217,-93.84,31.34
225,139.01,35.75
232,-85.67,10.65
232,-85.64,10.66
235,15.23,44.53
236,117.41,5.35
236,117.24,5.41
236,117.81,5.72
237,30.97,-0.63
238,-96.98,32.77
239,-105.02,35.89
241,31.73,40.2
243,141.29,-38.07
244,-78.33,-1.83
245,28.99,-22.27
246,-73.89,42.01
247,-81.06,36.4
248,-73.54,43.46
248,-73.4,43.55
250,32.25,-27.65
251,-84,10
252,29.14,-22.21
255,114.15,24.7
256,106.41,28.5
258,106.96,22.47
259,104.16,32.91
261,127.97,41.75
262,100.84,22.02
263,112.33,23.11
265,112.46,34.62
267,153.27,-28.21
273,98.7,25.08
276,139.2,35.42
276,139.38,35.63
278,97.93,24.72
279,70.49,41.39
281,88.26,26.48
287,31.12,39.68
296,84.16,27.33
302,-118,45.5
319,101.55,16.34
323,-92.25,38.83
331,-73.62,41.19
339,-77.15,38.72
382,151.49,-32.05
382,152.23,-31.2
394,144.6,-35.95
401,7.3,51.98
401,52.63,52.63
402,-105.27,40.02
410,126.1,-17.53
412,126,-16
414,148.35,-36.07
422,145.4,-16.2
425,-84.97,32.37
426,-81.42,31.07
428,116.04,-34.46
435,51.98,35.99
437,118.04,5.41
442,138.62,-30.92
448,138.26,-23.84
451,146.46,-41.55
464,145.21,-37.41
466,145.92,-28.7
468,143.43,-25.06
477,172.47,-43.63
495,-108.2,44.3
498,-116.82,32.67
498,-116.85,32.69
498,-117.06,32.82
498,-116.86,32.83
498,-116.94,32.91
498,-117.04,32.92
498,-117.13,32.94
498,-117.21,32.94
498,-117.16,32.95
498,-117.11,32.98
498,-116.86,33
498,-117.02,33.02
498,-116.95,33.03
498,-117.12,33.08
499,-115.21,46.26
501,-121.41,47.41
510,-101.1,17.57
510,-100.58,17.6
510,-101.04,17.66
514,-87.42,20.91
534,142.4,-37.21
540,145.05,-36.64
545,4.78,49.45
545,5.05,49.46
570,-123.59,39.5
571,-122.93,44.97
576,-123.69,41.1
577,103.1,31.02
580,116.09,40.07
592,102.18,3.72
597,101.37,14.44
600,-82.59,28.26
601,-70.2,41.68
611,-47.38,-15.5
613,-82.94,9.41
613,-83.42,9.94
635,-79,38
656,-77.76,8.04
656,-82.09,8.31
656,-81.07,8.51
656,-80.42,8.65
656,-82.54,8.81
656,-80.64,8.86
656,-81.61,8.86
656,-79.64,8.94
656,-79.66,9.07
656,-80.12,9.15
656,-79.65,9.55
660,-90.68,17.57
669,-101,31
684,-109.01,32.2
689,-97.39,35.41
690,-116.2,33.7
692,-112.92,32.25
698,-91.49,17.42
700,-105.7,32.83
706,-83.79,41.62
707,-83.5,41.68
713,132.3,-31.9
719,-125.5,56.5
727,145.401944,-15.959167
730,22.25,-32.67
733,-76.39,35.87
734,146.66,-41.13
735,-120.04,39.09
737,-121.17,36.49
748,-116.78,43.98
750,-123.33,41.5
755,-78.77,45.5
760,-79.85,38.93
768,-84.520295,30.482061
768,-84.59553,30.543134
768,-84.20875,30.6565
769,-88.23,40.11
771,-122.81,39.56
773,-150.5,63.33
774,38.5,-4.75
775,37.75,-4
782,120.88,23.91
790,-48.1,-25.05
791,-68.3,8.67
794,20.57,52.32
804,-82.11,36.1
810,103.66,2.21
820,116.71,6.04
821,-82.65,9.62
823,107.76,-7.28
825,-75.55,6.1
829,99.29,15.54
830,77.58,8.88
847,59.6,46.02
851,-5.07,50.15
855,121.56,25.17
856,-81.67,33.25
858,110.24,-1.24
863,110.33,31.52
867,30.4,0.5
890,-0.97,45.95
892,-111.97,25.85
893,-89.95,18.56
894,-87.18,21.22
896,-84.43,14.63
898,-75.64,6.06
903,-99.16,22.9
904,-73.42,5.08
905,-71.36,-40.16
907,-71.84,-42.84
913,153.13,-28.03
914,-67.97,-34.03
915,-106.83,34.33
920,11.66,16.39
944,117.04,5.03
945,101.83,5.8
946,96.56,26.44
972,-118.75,35.03
973,-116.77,33.02
974,-118.07,33.74
975,148.95,-35.53
977,-119.22,39.59
980,-105.82,39.63
981,-105.08,40.58
989,54.7,32.1
1003,-83.07,8.95
1030,76.63,11.55
1032,150.81,-35.05
1033,-5.27,40.25
1039,151.06,-34.08
1039,151.25,-33.62
1039,150.46,-33.6
1047,-73.33,3.83
1047,-73.33,4.33
1050,-59.47,-1.92
1060,-115.48,35.01
1067,-7.4,38.22
1071,101.37,14.43
1076,-109.87,32.7
1088,12.28,60.02
1092,-64.27,-2.35
1092,-67.38,-1.82
1093,-101.85,35.2
1103,145.99,-37.68
1109,-57.82,-21.63
1110,-79.85,9.17
1111,-50.21,-29.49
1112,-122.14,37.04
1115,-75.37,-10.37
1119,-98.57,29.68
1120,-122,42
1131,-124.18,43.72
1132,102.02,31.92
1133,-120.25,52.92
1135,149.22,-23.53
1152,148.78,-35.57
1162,107.45,15.95
1162,107.87,16.2
1163,-53.3,4.58
1174,-6.5,37
1175,89.75,49.82
1177,-100.57,32.74
1180,-43.29,-22.95
1181,117.88,4.96
1181,115.57,5.07
1181,118.72,5.21
1181,117.22,5.44
1181,117.3,6.24
1181,117.4,6.41
1187,36.71,-7.77
1188,-88.67,18.13
1190,36.7,-7.74
1192,-97.01,34.46
1193,31.15,-28
1196,-85.17,40.72
1200,-73.18,42.89
1201,-118.93,34.12
1202,141.14,-29.75
1203,141.08,-33.29
1205,153.03,-26.21
1215,132.67,-12.42
1217,-123.04,41.02
1217,-123.3,41.51
1222,-126.6,50.2
1223,-123.25,51.17
1227,-122.25,43.22
1227,-121.5,44
1231,-122.8,53.88
1234,-119.6,38.3
1236,-127.1,54.85
1239,-70.1,41.28
1240,145.82,-17.42
1240,145.8,-17.28
1240,145.85,-17.27
1240,145.68,-17.18
1240,145.62,-17.07
1240,145.63,-17.02
1240,145.67,-17
1240,145.65,-16.88
1260,169.38,-45.82
1302,47.42,-21.26
1305,103.82,1.34
1313,-71.52,-40.78
1320,-68.44,45.14
1321,-99.01,22.08
1374,-70.36,-10.02
1375,-77.6,-0.69
1375,-77.55,-0.38
1378,-63.41,-24.28
1378,-63.21,-24.18
1378,-63.61,-24.13
1378,-63.49,-24.13
1378,-63.39,-24.09
1379,-77.6,-0.7
1381,38.75,-3.56
1394,139.42,35.76
1395,131.35,32.02
1403,-66,-26
1406,25.16,-17.83
1409,-54.43,-25.68
1412,77.52,27.17
1413,101.92,16.08
1425,138.62,36.23
1435,80.5,6.42
1452,153.07,-26.65
1457,-116.05,50.88
1457,-116.49,51.4
1457,-116,51.5
1462,31.24,40.95
1464,100.57,13.85
1465,99.81,13.68
1472,28.31,-25.38
1484,76.55,11.58
1488,-120.04,38.91
1498,101.37,4.04
1501,-84.25,33.78
1505,-111.65,35.18
1510,-82.7,41.45
1511,128.23,26.73
1515,102.31,2.98
1516,33,0.41
1516,30.39,0.49
1516,31.58,1.79
1525,79.94,28.65
1527,84.02,28.82
1528,25.96,27.4
1529,36.57,28.4
1530,63.99,40.42
1531,-66.41,10.06
1532,77.16,28.58
1538,-84.26,37.68
1554,128.2,26.75
1556,-122,38.8
1557,-103.65,30.35
1560,99.27,27.16
1562,140.1,35.98
1593,-118.87,37.92
1593,-119.01,38.02
1593,-119.01,38.21
1594,116.97,-29.58
1599,-79.67,9.08
1600,-111.65,35.19
1609,-8.47,7.57
1635,82.1,36.11
1638,-7.9,38.57
1654,115.82,40.5
1658,-103.44,26.41
1670,134.47,-14.13
1672,24,69
1672,25,70
1672,28,70
1678,34.59,-3.28
1678,35.68,-3.08
1678,34.57,-2.33
1680,141.51,-29.09
1680,140.41,-27.69
1686,36.5,-7.86
1686,36.95,-7.84
1686,36.87,-7.75
1687,144.57,-38.02
1696,-4.49,39.4
1696,-5.94,39.81
1697,-52.75,-18.32
1700,49.54,-15.41
1700,50.05,-15.3
1702,-88.61,16.79
1713,-123.58,44.33
1718,47.42,-21.22
1724,50.1,-15.63
1724,49.56,-15.4
1732,138.81,37.39
1738,77,10.3
1739,49.47,37.46
1740,12.92,46.05
1747,53.55,28.55
1751,8.57,47.39
1752,119.86,-8.59
1760,112.85,2.39
1760,12.85,2.53
1760,112.83,2.59
1762,69.04,26.17
1764,79.72,42.67
1770,137.03,-29.72
1773,-73.85,7.06
1778,-68.32,-14.11
1778,-69.21,-12.54
1782,71,35
1792,106.84,12.34
1800,-51.58,0.92
1802,-100.57,21.97
1803,-53.09,-22.66
1807,103.13,31.1
1807,104.05,32.93
1808,-1.47,42.19
1819,-75.07,39.72
1826,-82.68,41.37
1826,-96.02,41.52
1826,-90.16,44.33
1849,-84.48,31.22
1863,-120.19,36.63
1868,-100.52,36.8
1897,2.47,41.62
1903,-114.28,47.5
1904,21.02,52.23
1907,-74.01,40.71
1912,40.43,-12.1
1913,83.97,28.78
1925,150.67,-34.96
1928,144.79,-37.37
1934,18.65,-33.99
1937,-97.38,35.63
1940,30.1,51.39
1954,145.17,-38.13
1955,-83.27,35.5
1962,-85.3,42.54
1963,104.95,18.01
1968,105.51,15.4
1975,-59.34,2.18
1975,-59.87,2.81
1988,81.5,28.38
1996,140.71,-30.13
2000,38.77,8.82
2001,-72,-12
2002,-97.88,27.47
2002,-97.87,27.53
2002,-97.85,27.57
2038,-122,37
2045,-115.48,51.17
2053,-0.42,51.88
2053,-0.75,52.03
2053,-0.47,52.97
2054,-90.5,33.67
2056,-121.6,37.5
2057,34.75,-2.92
2073,-76.46,34.71
2075,128.72,-15.79
2075,128.74,-15.69
2076,-111.1,44.66
2077,-3.483333,37.083333
2077,-2.45,37.833333
2077,-2.85,38.033333
2077,-4.333333,38.5
2077,-4.266667,39.383333
2077,0.833333,42.716667
2077,-6.183333,43.116667
2080,-115.65,34.8
2102,-121.32,37.95
2102,-121.5,38.52
2103,-90.89,17.43
2108,-97.08,36.13
2110,148.94,-31.97
2111,101.83,14.08
2112,-7.89,41.25
2115,36.9,0.29
2116,47.42,-21.13
2116,-71.37,-11.9
2116,-75.2,-10.49
2116,36.89,-7.84
2116,104.17,-5.25
2116,-59.98,-2.93
2116,-51.43,-1.79
2116,29.66,-1.08
2116,-76.4,-0.67
2116,16.6,2.52
2116,8.85,5.07
2116,-84.03,10.3
2117,117.69,5.1
2117,117.56,5.17
2119,48.5,7.61
2123,116.97,-32.78
2123,117.33,-32.55
2130,99.45,8.87
2132,-73.47,-39.866667
2132,-73.47,-40.18
2133,-73.99,-42.68
2133,-71.25,-29.9
2141,153.09,-25.91
2142,36.72,-8.68
2142,37.3,-7.4
2142,37.67,-7.17
2142,37,-6.47
2142,36.87,-6.26
2142,38.33,-3.42
2142,37.6,-2.13
2149,-76.17,-0.62
2163,146.39,-39.01
2170,78.9,30.62
2202,8.15,48.3
2213,36.67,0.08
2214,-56.47,-9.88
2234,113.69,2.23
2234,115.22,3.3
2234,115.49,3.83
2234,114.88,4.1
2234,115.71,4.36
2234,115.47,4.39
2234,116.94,4.73
2236,10.03,-2.7
2237,0.51,12.82
2260,-118.5,34.35
